timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
24636,-0.85,-0.06,0.12,955.27467503328,970.7447102564911,973.3230494603596,995.2389326932418,1023.6006639357954
24656,-0.85,0.0,0.12,861.5517056737837,877.8955049684083,874.3932622624172,897.7415469690238,914.0853462636485
24676,-0.85,0.0,0.12,1003.9197084865785,1020.1119618492652,1022.8106707430463,1044.4003418932955,1063.2913041497634
24696,-0.85,-0.06,0.12,1012.7658021138662,1029.1007344060254,1029.1007344060254,1048.1581554135444,1071.299309494103
24716,-0.85,-0.06,0.18,1025.5428156779544,1046.3308457254805,1049.1025830651508,1072.662350452347,1080.9775624713575
24736,-0.85,-0.06,0.06,903.216953612745,912.9159276112711,932.3138756083233,934.7386191079548,972.3221433522435
24756,-0.85,-0.06,0.0,947.9490113564306,955.5732661394582,965.738939183495,982.2581578800547,998.7773765766145
24776,-0.85,-0.12,0.18,794.0089370120739,810.1254918905328,812.2743658743273,829.4653577446834,841.2841646555532
24796,-0.85,0.0,0.18,952.2422466595756,966.3210970806176,962.4814106021518,984.2396339801259,1009.837543836566
24816,-0.85,-0.06,0.06,1057.1830796814932,1077.1299302415214,1079.9794803215252,1102.7758809615575,1122.7227315215857
24836,-0.85,-0.06,0.12,1101.3754198372405,1119.1156950560953,1122.0724075925712,1141.291039079664,1159.031314298519
24856,-0.85,0.0,0.12,879.9900104546232,897.8759862768717,896.6835878887217,918.14675887542,936.0327346976683
24876,-0.98,-0.06,0.12,865.4389355518018,871.2472505555052,874.7322395577271,890.9955215680965,904.9354775769847
24896,-1.34,0.06,0.0,1004.0782542704408,1012.2084425641285,1016.2735367109724,1050.149321268005,1069.119760619943
24916,-0.92,-0.12,-0.24,997.2395237511698,1006.6095595448049,1010.6252891706486,1033.3810903837625,1057.4754681388242
24936,-0.85,-0.12,0.24,938.4312226928953,953.5875816058359,949.7984918776008,976.3221199752466,990.2154489787753
24956,-0.85,0.12,0.12,936.9884026736686,949.5992829249966,950.8603709501295,977.3432194779181,991.215187754379
24976,-0.85,0.0,0.18,1106.3599293188083,1118.256272644817,1116.769229729066,1159.8934742858473,1167.328688864603
24996,-0.85,-0.06,-0.06,921.3120554881067,932.4719592557958,936.1919271783589,973.391606403989,979.5915529415939
25016,-0.79,-0.12,0.12,974.5450027903955,987.6613554524465,994.2195317834721,1012.5824255103436,1030.945319237215
25036,-0.79,0.0,0.12,787.0248473496077,803.9957335458257,803.9957335458257,820.9666197420436,833.6947843892071
25056,-0.79,0.0,0.12,1118.2591206413026,1128.8229719833932,1137.8777017051852,1157.4962827690676,1184.6604719344436
25076,-0.85,-0.06,0.12,1138.8473174812038,1151.175840539187,1157.3401020681786,1178.9150174196493,1208.1952596823596
25096,-0.85,-0.06,0.06,907.8731030424747,915.2243022573936,923.8007013414656,943.4038992479157,964.232297023519
25116,-0.85,-0.06,0.12,1010.1744959807553,1021.0805634137461,1033.3498892758605,1057.8885410000892,1070.1578668622037
25136,-0.85,0.0,0.12,1116.0344281825892,1126.563054863557,1135.5875920186722,1165.6693825357231,1179.206188268396
25156,-0.85,0.0,0.12,885.557020396683,898.6323589528756,902.1983603772917,921.2170346408448,934.2923731970374
25176,-0.85,0.0,0.12,954.9980777645965,966.6286362218107,974.3823418599536,1001.5203115934537,1017.0277228697395
25196,-0.85,-0.06,0.06,994.6644984641805,1005.3742104261098,1012.0677804023156,1036.1646323166565,1049.551772269068
